#;application/x-mathcad
%;application/x-trash
123;application/vnd.lotus-1-2-3
deb;application/x-debian-package,application/vnd.debian.binary-package
deepv;application/x-deepv
def;text/plain
deploy;application/octet-stream
der;application/x-x509-ca-cert
desktop;application/x-desktop
dfac;application/vnd.dreamfactory
dgc;application/x-dgc-compressed
dgn;image/vnd.dgn
di;text/x-dsrc
dia;application/x-dia-diagram
dic;text/x-c
dif;video/dv,video/x-dv
diff;text/x-diff,text/x-patch,text/plain
dir;application/x-director
dis;application/vnd.mobius.dis
dist;application/octet-stream
distz;application/octet-stream
divx;video/x-msvideo
djv;image/vnd.djvu
djvu;image/vnd.djvu
dl;video/x-dl
dll;application/x-msdos-program,application/x-msdownload,application/octet-stream
dmg;application/x-apple-diskimage,application/octet-stream
dmp;application/vnd.tcpdump.pcap
dms;application/x-dms,application/octet-stream
dna;application/vnd.dna
dng;image/x-adobe-dng
doc;application/msword,application/x-msword
docbook;application/x-docbook+xml
docm;application/vnd.ms-word.document.macroenabled.12
docx;application/vnd.openxmlformats-officedocument.wordprocessingml.document
dot;application/msword,application/x-msword,application/x-msword-template,text/vnd.graphviz
dotm;application/vnd.ms-word.template.macroenabled.12
dotx;application/vnd.openxmlformats-officedocument.wordprocessingml.template
dp;application/vnd.osgi.dp,application/commonground
dpg;application/vnd.dpgraph
dra;audio/vnd.dra
drw;application/x-drafting
dsc;text/prs.lines.tag
dsl;text/x-dsl
dssc;application/dssc+der
dtb;application/x-dtbook+xml
dtd;application/xml-dtd
dts;audio/vnd.dts
dtshd;audio/vnd.dts.hd
dtx;text/x-tex
dump;application/octet-stream
dv;video/dv,video/x-dv
dvb;video/vnd.dvb.file
dvi;application/x-dvi
dwf;x-drawing/x-dwf,model/vnd.dwf
dwg;image/vnd.dwg,application/x-acad,image/x-dwg
dx;x-chemical/x-jcamp-dx
dxf;image/vnd.dxf,application/x-dxf,image/vnd.dwg,image/x-dwg
dxp;application/vnd.spotfire.dxp
dxr;application/x-director
e;text/x-eiffel
ecelp4800;audio/vnd.nuera.ecelp4800
ecelp7470;audio/vnd.nuera.ecelp7470
ecelp9600;audio/vnd.nuera.ecelp9600
ecma;application/ecmascript
edm;application/vnd.novadigm.edm
edx;application/vnd.novadigm.edx
efif;application/vnd.picsel
egon;application/x-egon
ei6;application/vnd.pg.osasli
eif;text/x-eiffel
el;text/x-script.elisp,text/x-emacs-lisp
elc;application/x-bytecode.elisp,application/x-elc,application/octet-stream
emb;x-chemical/x-embl-dl-nucleotide
embl;x-chemical/x-embl-dl-nucleotide
emf;application/x-msmetafile,image/x-emf
eml;message/rfc822
emm;application/vnd.ibm.electronic-media
emma;application/emma+xml
emp;application/vnd.emusic-emusic_package
emz;application/x-msmetafile
ent;application/vnd.nervana,x-chemical/x-ncbi-asn1-ascii,x-chemical/x-pdb,application/xml-external-parsed-entity
entity;application/vnd.nervana
env;application/x-envoy
eol;audio/vnd.digital-winds
eot;application/vnd.ms-fontobject
eps;application/postscript,image/x-eps
eps2;application/postscript
eps3;application/postscript
epsf;application/postscript,image/x-eps
epsi;application/postscript,image/x-eps
epub;application/x-epub+zip
erf;image/x-epson-erf
erl;text/x-erlang
es;application/ecmascript,application/x-esrehber
es3;application/vnd.eszigno3+xml
esa;application/vnd.osgi.subsystem
esf;application/vnd.epson.esf
et3;application/vnd.eszigno3+xml
etheme;application/x-e-theme
etx;text/x-setext
eva;application/x-eva
evc;audio/evrc
evy;application/x-envoy
exe;application/x-msdos-program,application/x-msdownload,application/x-ms-dos-executable,application/octet-stream
exi;application/exi
exr;image/x-exr
ext;application/vnd.novadigm.ext
ez;application/andrew-inset
ez2;application/vnd.ezpix-album
ez3;application/vnd.ezpix-package
f;text/x-fortran,text/plain
f4a;audio/mp4
f4b;audio/mp4,audio/x-m4b
f4p;video/mp4
f4v;video/mp4,video/x-f4v
f77;text/x-fortran
f90;text/x-fortran,text/plain
f95;text/x-fortran
fb;application/x-maker
fb2;application/x-fictionbook+xml
fbdoc;application/x-maker
fbs;image/vnd.fastbidsheet
fcdt;application/vnd.adobe.formscentral.fcdt
fch;x-chemical/x-gaussian-checkpoint
fchk;x-chemical/x-gaussian-checkpoint
fcs;application/vnd.isac.fcs
fdf;application/vnd.fdf
fe_launch;application/vnd.denovo.fcselayout-link
fg5;application/vnd.fujitsu.oasysgp
fgd;application/x-director
fh;image/x-freehand
fh4;image/x-freehand
fh5;image/x-freehand
fh7;image/x-freehand
fhc;image/x-freehand
fif;application/x-fractals,image/x-fif
fig;application/x-xfig,image/x-xfig
fits;image/fits
fl;application/x-fluid
flac;audio/x-flac
flc;video/x-flic
fli;video/x-fli,video/x-flic
flo;application/vnd.micrografx.flo,image/x-florian
flv;video/x-flv
flw;application/vnd.kde.kivio,application/x-kivio
flx;text/vnd.fmi.flexstor
fly;text/vnd.fly
fm;application/x-maker,application/vnd.framemaker
fmf;video/x-atomic3d-feature
fnc;application/vnd.frogans.fnc
fo;text/x-xslfo
fodg;application/vnd.oasis.opendocument.graphics-flat-xml
fodp;application/vnd.oasis.opendocument.presentation-flat-xml
fods;application/vnd.oasis.opendocument.spreadsheet-flat-xml
fodt;application/vnd.oasis.opendocument.text-flat-xml
for;text/x-fortran,text/plain
fpx;image/vnd.fpx,image/vnd.net-fpx
frame;application/x-maker,application/vnd.framemaker
frl;application/x-freeloader
frm;application/x-maker
fsc;application/vnd.fsc.weblauch,application/vnd.fsc.weblaunch
fst;image/vnd.fst
ftc;application/vnd.fluxtime.clip
fti;application/vnd.anser-web-funds-transfer-initiation
funk;audio/x-make
fvt;video/vnd.fvt
fxm;video/x-javafx
fxp;application/vnd.adobe.fxp
fxpl;application/vnd.adobe.fxp
fzs;application/vnd.fuzzysheet
g;text/plain
g2w;application/vnd.geoplan
g3;image/g3fax,image/x-fax-g3
g3w;application/vnd.geospace
gac;application/vnd.groove-account
gal;x-chemical/x-gaussian-log
gam;x-chemical/x-gamess-input,application/x-tads
gamin;x-chemical/x-gamess-input
gau;x-chemical/x-gaussian-input
gb;application/x-gameboy-rom
gba;application/x-gba-rom
gbr;application/rpki-ghostbusters
gca;application/x-gca-compressed
gcd;text/x-pcs-gcd
gcf;application/x-graphing-calculator
gcg;x-chemical/x-gcg8-sequence
gcrd;text/vcard
gdl;model/vnd.gdl
ged;application/x-gedcom
gedcom;application/x-gedcom
gem;application/x-tar
gen;x-chemical/x-genbank,application/x-genesis-rom
geo;application/vnd.dynageo
gex;application/vnd.geometry-explorer
gf;application/x-tex-gf
gg;application/x-sms-rom
ggb;application/vnd.geogebra.file
ggt;application/vnd.geogebra.tool
ghf;application/vnd.groove-help
gif;image/gif
gim;application/vnd.groove-identity-message
gjc;x-chemical/x-gaussian-input
gjf;x-chemical/x-gaussian-input
gl;video/x-gl
glade;application/x-glade
gml;application/x-gml+xml
gmo;application/x-gettext-translation
gmx;application/vnd.gmx
gnc;application/x-gnucash
gnd;application/x-gnunet-directory
gnucash;application/x-gnucash
gnumeric;application/x-gnumeric
gnuplot;application/x-gnuplot
go;text/x-go
gp;application/x-gnuplot
gpg;application/pgp-encrypted,application/pgp-keys,application/pgp-signature
gph;application/vnd.flographit
gplt;application/x-gnuplot
gpt;x-chemical/x-mopac-graph
gpx;application/x-gpx+xml
gqf;application/vnd.grafeq
gqs;application/vnd.grafeq
gra;application/x-graphite
gram;application/srgs
gramps;application/x-gramps-xml
gre;application/vnd.geometry-explorer
grv;application/vnd.groove-injector
grxml;application/srgs+xml
gsd;audio/x-gsm
gsf;application/x-font,application/x-font-ghostscript,application/x-font-type1
gsm;audio/x-gsm
gsp;application/x-gsp
gss;application/x-gss
gtar;application/x-gtar,application/x-tar
gtm;application/vnd.groove-tool-message
gtw;model/vnd.gtw
gv;text/vnd.graphviz
gvp;text/x-google-video-pointer
gxf;application/x-gxf
gxt;application/vnd.geonext
gz;application/x-gzip,application/x-compressed,application/x-abiword,application/x-compressed-tar,application/x-cpio-compressed,application/x-gz-font-linux-psf,application/x-font-pcf,application/x-gzdvi,application/gzip,application/x-gzpdf,application/x-gzpostscript,application/x-qtiplot,image/x-compressed-xcf,image/x-gzeps
gzip;application/x-gzip,multipart/x-gzip
h;text/x-chdr,text/x-h,text/x-c,text/plain
h++;text/x-c++hdr
h261;video/h261
h263;video/h263
h264;video/h264
h4;application/x-hdf
h5;application/x-hdf
hal;application/vnd.hal+xml
hbc;application/vnd.hbci
hbci;application/vnd.hbci
hdf;application/x-hdf
hdf4;application/x-hdf
hdf5;application/x-hdf
help;application/x-helpfile
hep;application/x-hep
hgl;application/vnd.hp-hpgl
hh;text/x-c++hdr,text/x-h,text/x-c,text/plain
hin;x-chemical/x-hin
hlb;text/x-script
hlp;application/x-winhlp,application/x-hlp,application/x-helpfile,application/x-winhelp,text/plain
hp;text/x-c++hdr
hpg;application/vnd.hp-hpgl
hpgl;application/vnd.hp-hpgl
hpid;application/vnd.hp-hpid
hpp;text/x-c++hdr,text/plain
hps;application/vnd.hp-hps
hqx;application/mac-binhex40,application/x-binhex,application/x-binhex4,application/x-mac-binhex,application/x-binhex40,application/x-mac-binhex40
hs;text/x-haskell
hta;application/x-hta
htc;text/x-component
htke;application/vnd.kenameapp,application/vnd.kenameaapp
htm;text/html
html;text/html
htmls;text/html
htmlx;text/html
htt;text/x-webviewhtml
htx;text/html
hvd;application/vnd.yamaha.hv-dic
hvp;application/vnd.yamaha.hv-voice
hvs;application/vnd.yamaha.hv-script
hwp;application/x-hwp
hwt;application/x-hwt
hxx;text/x-c++hdr
i2g;application/vnd.intergeo
ica;application/x-ica
icb;image/x-tga
icc;application/vnd.iccprofile
ice;x-conference/x-cooltalk
icm;application/vnd.iccprofile
icns;image/x-icns
ico;image/vnd.microsoft.icon,image/x-icon
ics;text/calendar
icz;text/calendar
idc;text/plain
idl;text/x-idl
ief;image/ief
iefs;image/ief
ifb;text/calendar
iff;image/x-ilbm
ifm;application/vnd.shana.informed.formdata
iges;model/iges,application/iges
igl;application/vnd.igloader
igm;application/vnd.insors.igm
igs;model/iges,application/iges
igx;application/vnd.micrografx.igx
iif;application/vnd.shana.informed.interchange
iii;application/x-iphone
ilbm;image/x-ilbm
ima;application/x-ima
imagemap;application/x-imagemap
imap;application/x-imagemap,application/x-httpd-imap
ime;text/x-imelody
img;application/x-raw-disk-image
imp;application/vnd.accpac.simply.imp
ims;application/vnd.ms-ims
imy;text/x-imelody
in;text/plain
inf;application/x-inf
info;application/x-info
ink;application/inkml+xml
inkml;application/inkml+xml
inp;x-chemical/x-gamess-input
ins;application/x-internet-signup,application/x-internett-signup,text/x-tex
install;application/x-install-instructions
iota;application/vnd.astraea-software.iota
ip;application/x-ip2
ipfix;application/ipfix
ipk;application/vnd.shana.informed.package
iptables;text/x-iptables
irm;application/vnd.ibm.rights-management
irp;application/vnd.irepository.package+xml
iso;application/x-iso9660-image,application/x-cd-image,application/x-wii-rom,application/x-gamecube-rom,application/octet-stream
iso9660;application/x-cd-image
isp;application/x-internet-signup
ist;x-chemical/x-isostar
istr;x-chemical/x-isostar
isu;video/x-isvideo
it;audio/x-it
it87;application/x-it87
itp;application/vnd.shana.informed.formtemplate
iv;application/x-inventor
ivp;application/vnd.immervision-ivp
ivr;x-i-world/x-i-vrml
ivu;application/vnd.immervision-ivu
ivy;application/x-livescreen
jad;text/vnd.sun.j2me.app-descriptor
jam;application/x-jam,application/vnd.jam,audio/x-jam
jar;application/x-java-archive
jav;text/x-java-source,text/plain
java;text/x-java,text/x-java-source,text/plain
jceks;application/x-java-jce-keystore
jcm;application/x-java-commerce
jdx;x-chemical/x-jcamp-dx
jfif;image/jpeg,image/x-pjpeg
jfif-tbnl;image/jpeg
jisp;application/vnd.jisp
jks;application/x-java-keystore
jlt;application/vnd.hp-jlyt
jmz;application/x-jmol
jng;image/x-jng
jnlp;application/x-java-jnlp-file
joda;application/vnd.joost.joda-archive
jp2;image/jp2
jpe;image/jpeg,image/x-pjpeg
jpeg;image/jpeg,image/x-pjpeg
jpf;image/jpx,image/jp2
jpg;image/jpeg,image/x-pjpeg
jpg2;image/jp2
jpgm;image/jpm,video/x-jpm
jpgv;video/jpeg
jpm;image/jpm,video/x-jpm
jpr;application/x-jbuilder-project
jps;image/x-jps
jpx;image/jpx,application/x-jbuilder-project,image/jp2
js;application/javascript,application/x-javascript,application/ecmascript,text/javascript,text/ecmascript
jsm;application/javascript
json;application/json
jsonml;application/x-jsonml+json
jut;image/x-jutvision
k25;image/x-kodak-k25
kar;audio/x-midi,x-music/x-karaoke
karbon;application/vnd.kde.karbon,application/x-karbon
kcm;application/vnd.nervana
kdc;image/x-kodak-kdc
kdelnk;application/x-desktop
kexi;application/x-kexiproject-sqlite2,application/x-kexiproject-sqlite3
kexic;application/x-kexi-connectiondata
kexis;application/x-kexiproject-shortcut
key;application/pgp-keys,application/x-iwork-keynote-sffkey
kfo;application/vnd.kde.kformula,application/x-kformula
kia;application/vnd.kidspiration
kil;application/x-killustrator
kin;x-chemical/x-kinemage
kino;application/smil
kml;application/vnd.google-earth.kml+xml
kmz;application/vnd.google-earth.kmz
kne;application/vnd.kinar
knp;application/vnd.kinar
kom;application/vnd.hbci
kon;application/vnd.kde.kontour,application/x-kontour
koz;audio/vnd.audiokoz
kpm;application/x-kpovmodeler
kpr;application/vnd.kde.kpresenter,application/x-kpresenter
kpt;application/vnd.kde.kpresenter,application/x-kpresenter
kpxx;application/vnd.ds-keypoint
kra;application/x-krita
ks;application/x-java-keystore
ksh;application/x-ksh,text/x-script.ksh,text/plain
ksp;application/vnd.kde.kspread,application/x-kspread
ktr;application/vnd.kahootz
ktx;image/ktx
ktz;application/vnd.kahootz
kud;application/x-kugar
kwd;application/vnd.kde.kword,application/x-kword
kwt;application/vnd.kde.kword,application/x-kword
l16;audio/l16
la;audio/x-nspaudio,application/x-shared-library-la
lam;audio/x-liveaudio
lasxml;application/vnd.las.las+xml
latex;application/x-latex,text/x-tex
lbd;application/vnd.llamagraphics.life-balance.desktop
lbe;application/vnd.llamagraphics.life-balance.exchange+xml
lbm;image/x-ilbm
ldif;text/x-ldif
les;application/vnd.hhe.lesson-player
lha;application/x-lha,application/x-lzh-compressed,application/octet-stream
lhs;text/x-literate-haskell
lhx;application/octet-stream
lhz;application/x-lhz
lin;application/x-bbolin
link66;application/vnd.route66.link66+xml
list;text/plain
list3820;application/vnd.ibm.modcap
listafp;application/vnd.ibm.modcap
lma;audio/x-nspaudio
lnk;application/x-ms-shortcut
log;text/x-log,text/plain
lostxml;application/lost+xml
lrf;application/octet-stream
lrm;application/vnd.ms-lrm
lrv;video/mp4
lrz;application/x-lrzip,application/x-lrzip-compressed-tar
lsf;video/x-la-asf
lsp;application/x-lisp,text/x-script.lisp
lst;text/plain
lsx;video/x-la-asf,text/x-la-asf
ltf;application/vnd.frogans.ltf
ltx;text/x-tex,application/x-latex
lua;text/x-lua
lvp;audio/vnd.lucent.voice
lwo;image/x-lwo
lwob;image/x-lwo
lwp;application/vnd.lotus-wordpro
lws;image/x-lws
ly;text/x-lilypond
lyx;application/x-lyx
lz;application/x-lzip
lz4;application/x-lz4
lzh;application/x-lzh,application/x-lzh-compressed,application/x-lha,application/octet-stream
lzma;application/x-lzma,application/x-lzma-compressed-tar
lzo;application/x-lzop,application/x-tzo
lzx;application/x-lzx,application/octet-stream
m;text/x-m,text/x-objcsrc,text/x-matlab,text/plain
m13;application/x-msmediaview
m14;application/x-msmediaview
m15;audio/x-mod
m1u;video/vnd.mpegurl
m1v;video/mpeg
m21;application/mp21
m2a;audio/mpeg
m2t;video/mp2t
m2ts;video/mp2t
m2v;video/mpeg
m3a;audio/mpeg
m3g;application/x-m3g
m3u;audio/x-mpegurl,audio/x-mpequrl,application/vnd.apple.mpegurl
m3u8;application/vnd.apple.mpegurl,audio/x-mpegurl
m4;application/x-m4
m4a;audio/mpeg,audio/mp4
m4b;audio/x-m4b
m4u;video/vnd.mpegurl
m4v;video/x-m4v,video/mp4
ma;application/mathematica
mab;application/x-markaby
mads;application/mads+xml
mag;application/vnd.ecowin.chart
mak;text/x-makefile
maker;application/x-maker,application/vnd.framemaker
man;application/x-troff-man,text/troff
manifest;text/x-cache-manifest
map;application/x-navimap
mar;text/plain,application/octet-stream
markdown;text/x-markdown
mathml;application/mathml+xml
mb;application/mathematica
mbd;application/x-mbedlet
mbk;application/vnd.mobius.mbk
mbox;application/mbox
mc$;application/x-magic-cap-package-1.0
mc1;application/vnd.medcalcdata
mcd;application/vnd.mcd,application/x-mcad,application/x-mathcad
mcf;image/x-vasa,text/x-mcf
mcif;x-chemical/x-mmcif
mcm;x-chemical/x-macmolecule
mcp;application/x-netmc
mcurl;text/vnd.curl.mcurl
md;text/x-markdown
mda;application/x-msaccess
mdb;application/x-msaccess,application/vnd.ms-access
mde;application/x-msaccess
mdf;application/x-msaccess
mdi;image/vnd.ms-modi
me;application/x-troff-me,text/troff,text/x-troff-me
med;audio/x-mod
mesh;model/mesh
meta4;application/metalink4+xml
metalink;application/x-metalink+xml
mets;application/mets+xml
mfm;application/vnd.mfmp
mft;application/rpki-manifest
mgp;application/vnd.osgeo.mapguide.package,application/x-magicpoint
mgz;application/vnd.proteus.magazine
mht;message/rfc822,application/x-mimearchive
mhtml;message/rfc822,application/x-mimearchive
mid;audio/x-midi,application/x-midi,audio/x-mid,x-music/x-crescendo,x-music/x-midi
midi;audio/x-midi,application/x-midi,audio/x-mid,x-music/x-crescendo,x-music/x-midi
mie;application/x-mie
mif;application/vnd.mif,application/x-mif,application/x-frame
mime;message/rfc822,x-www/x-mime
minipsf;audio/x-minipsf
mj2;video/mj2
mjf;audio/x-vnd.audioexplosion.mjuicemediafile
mjp2;video/mj2
mjpg;video/x-motion-jpeg
mk;text/x-makefile
mk3d;video/x-matroska,video/x-matroska-3d
mka;audio/x-matroska
mkd;text/x-markdown
mks;video/x-matroska
mkv;video/x-matroska
ml;text/x-ocaml
mli;text/x-ocaml
mlp;application/vnd.dolby.mlp
mm;application/x-freemind,application/x-base64,application/x-meme,text/x-troff-mm
mmd;x-chemical/x-macromodel-input,application/vnd.chipnuts.karaoke-mmd
mme;application/x-base64
mmf;application/vnd.smaf,application/x-smaf
mml;text/x-mathml,application/mathml+xml
mmod;x-chemical/x-macromodel-input
mmr;image/vnd.fujixerox.edmics-mmr
mng;video/x-mng
mny;application/x-msmoney
mo;application/x-gettext-translation,text/x-modelica
mo3;audio/x-mo3
mobi;application/x-mobipocket-ebook
moc;text/x-moc
mod;audio/x-mod
mods;application/mods+xml
mof;text/x-mof
mol;x-chemical/x-mdl-molfile
mol2;x-chemical/x-mol2
moo;x-chemical/x-mopac-out
moov;video/quicktime
mop;x-chemical/x-mopac-input
mopcrt;x-chemical/x-mopac-input
mov;video/quicktime
movie;video/x-sgi-movie
mp+;audio/x-musepack
